Location,Characters per location
Earth (Replacement Dimension),230
Citadel of Ricks,101
Interdimensional Cable,62
Story Train,27
Earth (C-137),27
unknown,21
Snake Planet,15
Planet Squanch,12
Anatomy Park,11
Nuptia 4,11
Narnia Dimension,11
Rick's Memories,11
Post-Apocalyptic Earth,10
Heist-Con,10
St. Gloopy Noops Hospital,9
Worldender's lair,9
Glorzo Asteroid,8
Jerryboree,8
Mr. Goldenfold's dream,8
Hell,7
Tickets Please Guy Nightmare,7
Earth (Wasp Dimension),6
Pluto,6
Merged Universe,6
Morty’s Story,6
Draygon,6
Unity's Planet,6
Ricks’s Story,6
Earth (Fascist Dimension),6
Gaia,5
Earth (C-500A),5
Roy: A Life Well Lived,5
Birdperson's Consciousness,5
Earth (Evil Rick's Target Dimension),5
Alphabetrium,5
Heistotron Base,5
Resort Planet,5
Earth (Fascist Shrimp Dimension),4
Fantasy World,4
Zigerion's Base,4
Alien Acid Plant,4
Near-Duplicate Reality,4
Earth (Unknown dimension),4
Purge Planet,4
Earth (Chair Dimension),4
Monogatron Mothership,4
Giant's Town,3
Rick and Two Crows Planet,3
The Menagerie,3
Earth (Phone Dimension),3
Dorian 5,3
Immortality Field Resort,3
Forbodulon Prime,3
NX-5 Planet Remover,3
Gazorpazorp,3
Gear World,3
Signus 5 Expanse,2
Globaflyn,2
Avian Planet,2
Rick's Battery Microverse,2
Earth (Giant Telepathic Spiders Dimension),2
Gramuflack,2
Space Tahoe,2
Earth (Pizza Dimension),2
Testicle Monster Dimension,2
Midland Quasar,2
Interdimensional Customs,2
Space,2
Hideout Planet,2
Normal Size Bug Dimension,2
Kyle's Teenyverse,2
Earth (Fascist Teddy Bear Dimension),2
Snuffles' Dream,2
Ferkus 9,2
Hamster in Butt World,1
Zeep Xanflorp's Miniverse,1
Defiance's Base,1
Alien Day Spa,1
Abadango,1
Non-Diegetic Alternative Reality,1
Froopyland,1
Bepis 9,1
Morglutz,1
Slartivart,1
Mega Gargantuan Kingdom,1
Greasy Grandma World,1
Z. Q. P. D.,1
Gorgon Quadrant,1
Pawn Shop Planet,1
Venzenulon 7,1
Galactic Federation Prison,1
Defiance's Ship,1
Mount Space Everest,1
Vindicator's Base,1
Plopstar,1
